genenames,CHASM,DawnRank,EntroRank,Intdriver,MA,MCGfinder,MaxMIF_HumanNet,MaxMIF_Influencegraph,MaxMIF_STRINGv10,Muf_max_HumanNet,Muf_max_STRINGv10,Muf_max_influencegraph,Muf_sum_HumanNet,Muf_sum_STRINGv10,Muf_sum_influencegraph,Music,NMTF,OncodriveClust,OncodriveFM,RME,SIFT,Subdyquency,Unicovex_PPR,Unicovex_influencegraph,activedriver,dendrix_frequency,dendrix_weight,diffusion,dndscv,dotsfinder,drivernet,polyphen-2,ncg_6,cgc,ccgs
MUC13,0,0,7764,0,51122,0,5631,12566,13889,0,0,0,0,0,0,12832,0,0,0,0,0,0,0,0,0,1201,856,0,16596,13323,0,7631,N,N,N
OR5H1,0,0,4435,0,1143,0,13507,10800,6404,14877,6371,7948,13313,4171,10370,972,0,0,5882,0,13191,0,0,0,0,0,0,0,1416,2607,0,41,N,N,N
TMEM150C,0,0,0,0,86621,0,10921,12558,12199,13254,11885,15503,12501,12668,14298,23127,0,0,0,0,4543,0,0,0,0,0,0,0,6870,0,0,0,N,N,N
ANKRD32,0,0,0,0,86424,0,14629,14629,14629,15411,9343,13779,9342,12558,15412,11204,0,0,0,0,0,0,0,0,0,0,0,0,2653,12192,0,0,N,N,N
SCGN,0,0,0,0,5624,0,11250,12562,8696,13974,4150,15516,12237,3117,14312,6462,0,0,2276,0,7977,0,6783,0,6032,0,0,0,15187,7768,0,3353,N,N,N
PPP1R18,190,0,0,0,0,0,13819,12563,13888,0,0,0,0,0,0,13223,0,0,0,0,2648,0,6471,0,0,0,0,0,19433,8937,0,10783,N,N,N
C6orf130,0,0,0,0,10639,0,14628,14628,14628,0,0,0,0,0,0,9523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,N,N
TCTE1,0,0,0,0,14870,0,12537,4237,3702,12974,15292,11901,10911,11091,8464,5151,0,0,3556,0,14141,0,0,0,0,0,0,0,8198,5256,0,5600,N,N,N
SH2B2,0,0,8734,0,77044,0,10166,12560,11129,0,0,0,0,0,0,22124,0,0,0,0,4190,0,6866,5948,0,0,0,0,5698,0,0,0,N,N,Y
CYP2W1,0,0,6154,0,9189,0,10553,12579,11650,12494,12976,14671,12073,11723,13527,4336,0,0,0,0,11696,0,0,0,0,0,0,0,13445,10415,0,1973,N,N,N
