genenames,CHASM,DawnRank,EntroRank,Intdriver,MA,MCGfinder,MaxMIF_HumanNet,MaxMIF_Influencegraph,MaxMIF_STRINGv10,Muf_max_HumanNet,Muf_max_STRINGv10,Muf_max_influencegraph,Muf_sum_HumanNet,Muf_sum_STRINGv10,Muf_sum_influencegraph,Music,NMTF,OncodriveClust,OncodriveFM,RME,SIFT,Subdyquency,Unicovex_PPR,Unicovex_influencegraph,activedriver,dendrix_frequency,dendrix_weight,diffusion,dndscv,dotsfinder,drivernet,polyphen-2,ncg_6,cgc,ccgs
XRN2,0,0,336,0,483,0,842,849,2365,2603,6378,3392,3599,1040,1816,2183,0,3456,5842,0,8811,498,969,850,633,0,0,0,2198,1915,0,1783,N,N,N
SUN5,0,0,0,0,13719,0,1010,661,2012,936,4960,9668,1858,2930,3800,1156,0,1361,889,0,5762,0,0,0,0,0,0,0,1598,2718,0,2436,N,N,N
MYT1,0,0,3036,0,7035,0,1826,3087,5566,2407,9133,6770,2679,3605,3517,646,0,3017,6235,0,10583,0,1221,827,2335,0,0,0,5061,1107,0,7847,N,N,N
DOPEY2,0,0,5147,0,6475,0,11095,3979,5072,17017,10018,0,17022,12584,0,5745,0,0,0,0,0,0,0,0,2336,0,0,0,3632,1503,0,0,N,N,N
PDE9A,0,0,0,0,32494,0,4123,7711,5172,10859,6865,13722,10689,3893,12216,9305,0,0,0,0,4319,0,5088,0,5874,0,0,0,5650,6253,0,0,N,N,N
NF2,0,0,2457,0,1145,0,109,2184,487,366,962,1253,692,997,438,2045,0,0,0,0,0,0,1432,1093,2337,0,0,0,964,3071,0,2605,Y,N,Y
TRH,0,0,2949,0,17034,0,3705,5398,982,8038,1014,9496,7144,4261,7976,6215,0,0,3094,0,1432,0,3721,3317,0,0,0,0,12939,8175,0,6001,N,N,N
OR5H1,0,0,1978,0,1716,0,11734,4248,2954,8829,6315,6918,6548,2711,4705,1377,0,0,7898,0,10102,0,0,0,0,0,0,0,395,1655,0,30,N,N,N
NDST4,0,0,0,0,1295,0,2715,966,3115,2361,6229,7817,1586,1341,2232,1249,0,3417,468,0,7529,0,0,0,0,0,0,0,7191,1037,0,2513,N,N,N
TBC1D9,0,0,0,0,5374,0,4059,1995,5856,6582,8089,11428,5896,4188,6857,9626,0,0,7010,0,11130,0,0,0,2338,0,0,0,12868,7562,0,10157,N,N,N
TRAPPC11,0,0,2612,0,0,0,6527,5808,1562,6388,1343,9059,6986,8508,7694,9675,0,0,0,0,9060,0,3717,3306,0,0,0,0,13900,8464,0,8146,N,N,N
PACRGL,0,0,0,0,16756,0,12202,7712,12499,16087,16942,15334,14949,15267,13683,6499,0,0,0,0,4251,0,5223,0,2339,0,0,0,6481,6359,0,0,N,N,N
GNRHR,0,0,2565,0,36610,0,4473,2973,1023,8205,15796,7894,6914,11905,8138,11030,0,0,0,0,1359,0,0,0,0,0,0,0,6750,9109,0,0,N,N,N
PCDHA5,0,0,1314,0,2568,0,11335,1475,9491,5359,10683,600,3468,2856,672,7559,0,2482,0,0,1344,463,805,586,0,0,0,32,12508,0,0,0,N,N,N
PCDHB12,0,249,359,0,97,0,11236,839,9042,2686,8006,559,1514,1029,418,2104,144,2828,3451,0,1350,153,0,0,88,0,0,86,3682,0,0,9678,N,N,N
PCDHGA6,0,0,479,0,165,0,11336,1479,6800,3328,6626,571,1966,1410,492,2768,0,0,0,0,1355,444,0,0,6076,0,0,0,3251,0,0,0,N,N,N
DOCK2,0,0,518,102,2033,209,167,17,703,575,4648,1504,120,149,267,2617,191,3076,475,0,1369,75,53,43,4082,0,0,0,4984,270,0,6779,N,N,Y
CDH6,106,0,2237,0,3222,0,1155,1787,1509,1144,4517,1414,133,1788,934,1862,189,2073,483,0,6773,0,751,630,2341,0,0,0,5156,1081,0,2294,N,N,N
GHR,236,0,7529,0,1454,0,4306,7726,1110,9394,850,1031,9615,7298,8004,3755,0,2044,2345,0,10458,0,5806,5157,2342,0,0,0,6494,2768,0,8104,N,N,Y
SKIV2L2,0,0,1702,0,13550,0,1846,5883,5865,8016,10023,0,5181,7869,0,5868,0,0,0,0,0,1345,3351,3152,2343,0,0,589,3546,5116,0,0,N,N,N
MED23,0,0,872,0,12073,0,2107,2088,1251,2956,1743,1891,1917,3398,1944,8206,0,2332,28,0,306,1232,1471,1128,2344,0,0,0,11108,3413,0,10830,Y,N,Y
TREML2,0,0,0,0,4592,0,11899,5477,8029,13562,12657,12876,11655,10963,9569,1001,0,1541,6319,0,6888,0,0,0,2345,0,0,0,4216,3753,0,10071,N,N,N
OGFRL1,0,0,0,0,15014,0,11693,3943,10118,11073,14589,11917,8812,8814,7137,5466,0,0,7006,0,10702,0,0,0,0,339,1584,0,4346,3619,0,10034,N,N,N
FBXO24,0,0,0,0,31739,0,11565,3212,8801,11200,11910,12055,8943,7911,7212,3146,0,27,0,0,343,0,0,0,2346,0,0,0,3441,3093,0,0,N,N,N
SBDS,0,0,4171,0,21216,0,3123,7705,4514,8130,2633,4673,8464,9090,10378,12238,0,0,1930,0,1387,0,0,0,6607,0,0,0,16571,8708,0,10234,N,N,Y
