"genenames","CHASM","DawnRank","EntroRank","Intdriver","MA","MCGfinder","MaxMIF_HumanNet","MaxMIF_Influencegraph","MaxMIF_STRINGv10","Muf_max_HumanNet","Muf_max_STRINGv10","Muf_max_influencegraph","Muf_sum_HumanNet","Muf_sum_STRINGv10","Muf_sum_influencegraph","Music","NMTF","OncodriveClust","OncodriveFM","SIFT","Subdyquency","Unicovex_PPR","Unicovex_influnecegraph","activedriver","dendrix_frequency","dendrix_weight","diffusion","dndscv","dotsfinder","drivernet","polyphen-2","ncg_6","cgc","ccgs"
"STRBP",4609,0,2666,0,13125,0,4658,5908,6081,7904,7610,9707,5234,9088,7439,11680,0,0,1489,4868,0,2970,4169,1464,0,0,0,16411,11514,0,4184,"N","N","N"
"LMX1B",2580,0,2329,0,6776,0,2653,4850,2187,3873,4295,8327,4476,2306,5141,6486,0,0,0,7974,0,1348,1582,0,0,0,0,19169,7692,0,0,"N","N","N"
"EHMT1",183,0,1150,0,548,0,4075,1365,155,3040,236,54,1636,393,1556,7677,0,2406,4157,10157,869,1199,837,507,0,0,0,9578,1628,0,1684,"N","N","N"
"VLDLR",5771,0,1349,0,11837,0,521,1091,71,749,12289,529,2076,3920,1582,2094,0,30,1834,7439,881,970,896,1465,0,0,0,5041,2124,0,2480,"N","N","Y"
"CREB3",6980,0,1484,0,4769,0,1430,2256,1768,2726,3882,2489,5283,4289,2241,9916,0,0,0,4766,1227,1807,1467,0,0,0,404,17027,8558,0,0,"N","N","Y"
"FRMPD1",5059,0,0,0,10473,0,5171,2102,5753,3203,7269,7934,759,1742,2176,7958,0,784,562,945,0,606,0,0,0,0,0,12786,3300,0,2615,"N","N","N"
"MAGEB6",10363,0,0,0,417,0,7026,2784,5531,5299,8893,9930,4063,2031,3682,408,0,1140,3552,9948,0,878,0,0,51,97,0,6728,1614,0,1212,"N","N","N"
"MXRA5",3888,0,0,0,11085,175,1002,287,2034,843,5048,4766,324,263,739,80,60,72,43,951,0,0,0,0,0,0,0,1818,59,0,2235,"Y","N","N"
"CXorf22",0,0,0,0,4696,0,10206,10117,10209,0,0,0,0,0,0,7551,0,0,0,0,0,0,0,0,0,0,0,9703,1398,0,0,"N","N","N"
"GPR174",6086,0,0,0,10539,0,9425,5948,8344,13691,12335,12211,11780,6415,9384,742,0,2467,2798,7790,0,0,0,0,0,0,0,4409,3965,0,3762,"N","N","Y"
"ATP2B2",1993,0,2210,0,2857,0,1885,2073,1727,2980,13914,4631,3163,6811,4976,422,0,2510,5049,11628,0,0,0,5427,0,0,0,192,2298,0,663,"N","N","N"
"SV2A",1625,0,5861,0,9833,0,1975,2901,5431,6233,10812,2176,6213,7355,4858,4653,0,1991,0,4996,0,0,0,1466,0,0,0,5954,3408,0,3979,"N","N","N"
"UBAP2L",8443,0,2667,0,18693,0,1274,2897,3201,6289,15410,12898,7610,11257,9947,11943,0,0,0,939,0,3710,2690,5876,182,196,0,11896,9223,0,6522,"N","N","N"
"MRGPRX3",10418,0,0,0,9932,0,8908,2914,6218,13297,10433,12055,11383,8313,9253,7192,0,0,3167,4583,0,0,0,0,0,0,0,10040,6334,0,6926,"N","N","N"
"OR5L1",9990,0,2144,0,9353,0,8708,1630,9249,9381,6923,6064,6974,4068,5285,4960,0,0,0,0,0,0,0,0,0,0,0,13235,4702,0,4840,"N","N","Y"
"ZNF843",9237,0,0,0,16185,0,8903,2892,3425,13697,5175,12272,11786,7978,9431,5491,0,0,0,5856,0,0,0,0,0,0,0,13687,9745,0,3396,"N","N","N"
"CHD9",1937,0,140,0,8906,0,2606,330,672,1233,4296,1254,313,198,564,7178,0,557,0,4821,282,0,0,1467,0,0,632,3798,636,0,0,"N","N","N"
"ZDHHC1",7101,0,0,0,4727,0,5166,2894,6367,12254,11160,12131,10761,7733,9314,1564,0,0,4499,8132,0,0,0,0,0,0,0,7353,6102,0,8511,"N","N","N"
"GRIK5",2953,0,837,0,5818,0,949,883,2832,1206,5912,2476,1672,1389,819,4137,0,938,4197,6550,646,563,491,0,0,0,591,3327,1237,0,813,"N","N","N"
"TAPT1",4399,0,2668,0,2039,0,5289,1720,5555,7270,9091,7296,5903,5281,2106,11718,0,0,2247,964,0,0,0,4451,0,0,0,18038,9164,0,978,"N","N","N"
"HEATR7B2",0,0,0,0,5836,0,9975,9276,10045,0,0,0,0,0,0,2111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"N","N","N"
"ACTBL2",10531,0,6596,0,564,0,8913,2947,572,13299,3729,1035,11385,854,548,6166,0,0,0,7327,0,0,0,404,0,0,0,19776,9094,0,8384,"N","N","N"
"TRMT12",5492,0,0,0,10151,0,2123,2150,4934,4969,10049,10220,4842,4864,5514,11891,0,0,227,937,0,2642,0,0,0,0,0,19179,11127,0,9410,"N","N","N"
"TMEM246",3276,0,0,0,0,0,5709,613,4476,4530,12214,9618,3528,3847,3598,466,0,0,0,9721,0,0,0,0,0,0,0,1673,2097,0,1545,"N","N","N"
"FANCC",11070,0,5357,0,11910,0,988,2929,1373,1883,1548,2493,6391,5075,6304,10194,0,0,3369,7402,1389,4948,3789,0,0,0,275,16691,8841,0,6202,"N","N","Y"
"ZXDA",5996,0,2669,0,2499,0,8721,1736,2807,9457,4913,7970,7056,3666,4171,5999,0,0,2261,918,0,0,0,3049,0,0,0,19227,8802,0,653,"N","N","N"
"KHDRBS1",11328,0,820,0,18684,0,769,1832,719,1574,1066,4151,1454,2515,1845,4517,0,0,0,8042,1004,1883,1537,0,0,0,447,314,4064,0,0,"N","N","Y"
"KANSL1",11329,0,4710,0,0,0,1752,2922,716,600,894,2956,5968,5439,6573,2188,0,0,0,11608,0,5164,3938,0,0,0,0,154,3879,0,0,"Y","N","N"
"MIF4GD",11330,0,0,0,18686,0,5296,2916,4308,9955,9533,12918,9135,10309,9966,2995,0,0,0,11621,0,4034,0,0,0,0,0,1318,11600,0,0,"N","N","N"
"PLEKHA2",11331,0,4805,0,18687,0,8907,2911,9370,0,0,0,0,0,0,2804,0,0,0,0,0,4562,3483,0,0,0,0,1076,11602,0,0,"N","N","N"
"THBS3",2383,0,2290,0,1986,0,4996,3601,4192,7442,3763,4113,5982,2721,4415,8173,0,2535,1959,956,0,0,0,2791,0,0,0,9774,3571,0,6627,"N","N","Y"
"ABL2",1351,0,658,0,2850,0,840,1629,221,2160,5290,2041,1480,596,910,5706,0,2561,0,11163,0,1112,953,798,0,0,0,7766,2123,0,0,"N","N","Y"
"CR1",5961,0,1086,155,1955,264,567,101,794,979,1955,2815,410,236,669,1446,0,2392,862,4394,0,153,125,1468,0,0,0,4486,239,0,3447,"N","N","Y"
"EPB41",3112,0,1250,0,74,0,2882,6165,4288,1790,2627,2980,1137,1347,1873,8541,0,0,0,11275,0,1066,863,1469,0,0,0,6260,3329,0,0,"N","N","Y"
"LPPR5",0,0,0,0,16023,0,10497,10497,10497,14815,14745,0,15007,14489,0,3573,0,0,0,0,0,0,0,0,0,0,0,17426,0,0,0,"N","N","N"
"TRIM8",5532,0,6061,0,13127,0,9802,8253,1077,13840,321,7800,11932,6500,3969,11885,0,0,0,6978,1331,2733,3896,0,0,0,0,18834,8493,0,8565,"N","N","Y"
"GTPBP4",5711,0,4502,0,1931,0,3363,8268,2266,2351,16054,6549,1257,11900,6852,10395,0,0,2100,935,0,0,0,6292,0,0,0,16998,7946,0,8066,"N","N","Y"
"ARMC4",5070,0,0,0,4337,0,5722,3771,1923,3961,6011,9470,3007,1851,3559,7836,0,2200,4139,8117,0,0,0,0,0,0,0,11459,3587,0,7453,"N","N","N"
"VSTM4",8402,0,0,0,0,0,8693,1564,7802,2763,6673,6584,1522,949,1440,169,0,0,0,350,0,0,0,2149,0,0,0,658,1159,0,5759,"N","N","N"
"EGR2",712,0,6589,0,13095,0,4015,8269,3014,3641,1284,2801,7991,2660,2385,6390,0,0,0,9196,713,2983,2388,1470,0,0,124,5893,5631,0,355,"N","N","Y"
"MMS19",7485,0,809,0,7039,0,2417,1709,2303,3311,12194,3700,1579,3827,811,8025,0,0,984,11630,481,787,816,4093,0,0,455,6184,2986,0,2197,"N","N","N"
"NPAT",4180,0,2330,0,5089,0,2059,6794,2769,1623,1538,6844,4740,3668,5108,7728,0,931,3513,7326,0,0,0,1471,0,0,0,5297,947,0,7957,"N","N","N"
"OR10G4",10416,0,2145,0,13126,0,5811,3834,3994,6931,6951,5804,4344,3968,5271,973,0,0,0,4254,0,0,0,0,0,0,0,954,3323,0,3364,"N","N","N"
"OR52N5",11135,0,2146,0,2522,0,9267,5059,4643,9478,6941,6671,7078,4056,5318,6017,0,0,3370,7254,0,0,0,0,0,0,0,19427,7292,0,6370,"N","N","N"
"ACER3",2500,0,4131,0,1746,0,3344,4455,6494,5539,14040,5171,4385,6935,4385,1175,0,1437,3150,6615,0,0,0,1472,0,0,0,1677,3823,0,8981,"N","N","N"
"MYBPC1",978,0,861,0,5506,0,245,1659,368,426,978,871,1272,1477,621,8034,0,1561,0,8820,121,0,0,1473,0,0,485,11281,3426,0,0,"N","N","N"
"TAS2R9",9242,0,1690,0,11423,0,9562,6833,8848,9537,12715,7171,7139,6210,5183,1827,0,0,3734,6882,0,0,0,0,0,0,0,8570,4228,0,5719,"N","N","N"
"ATXN2",1153,0,1838,0,9043,0,358,691,1820,1107,3319,3350,867,431,457,7632,0,1381,1480,5358,0,345,349,1474,0,0,0,9308,2004,0,3436,"N","N","N"
"NACA",3069,0,4949,0,6626,0,2368,8261,6348,4864,9330,2589,3245,8234,4342,8039,0,0,3245,4192,0,4596,3535,1475,0,0,0,16764,2989,0,5912,"N","N","Y"
"CHD4",286,0,165,0,216,214,316,420,259,1114,1974,1961,563,392,145,915,0,62,0,0,283,286,254,22,0,0,579,276,100,122,778,"Y","N","N"
"PTPRQ",875,0,0,0,27969,0,8615,1020,9183,0,0,0,0,0,0,882,0,1970,0,0,0,0,0,1476,0,0,0,17775,1004,0,0,"N","N","N"
"NUFIP1",8871,0,2131,0,9496,0,4665,6465,6238,2419,7023,5045,6076,3637,2013,10971,0,0,4059,6490,0,1405,1172,1477,0,0,0,18508,7756,0,1834,"N","N","N"
"LMO7",7686,0,6082,0,18716,0,5262,8263,7215,7808,5809,4336,5190,5737,6315,8730,0,0,0,4659,0,4185,3327,1478,0,0,0,8886,5740,0,0,"N","N","Y"
"MIR369",0,0,0,0,0,0,9804,8262,9938,0,0,0,0,0,0,1090,0,0,0,0,0,0,0,0,242,229,0,0,0,0,0,"N","N","N"
"TCL6",0,0,0,0,0,0,4446,8255,9937,0,0,0,0,0,0,11747,0,0,0,0,0,2872,0,0,0,0,0,0,0,0,0,"N","N","Y"
"C15orf55",0,0,0,0,10545,0,10498,10498,10498,0,0,0,0,0,0,7864,0,0,0,0,0,3866,0,0,0,0,0,0,3305,0,0,"N","N","N"
"CASC5",6148,0,148,0,5503,252,10174,10085,10177,14923,6192,0,13216,10972,0,4190,0,0,0,0,272,263,337,936,0,0,0,3768,591,0,0,"N","N","Y"
"CDH15",5307,0,772,0,9834,0,1434,2078,615,2262,2304,985,1939,2034,685,1136,0,2443,2618,7264,923,782,820,0,0,0,189,6199,3550,0,3487,"N","N","N"
"PLXDC1",8121,0,0,0,12644,0,6409,6509,6187,5745,6755,10468,1213,4432,5650,6630,0,0,2747,4128,0,2653,0,1479,0,0,0,9973,6145,0,6359,"N","N","N"
"KIF1C",5102,0,0,0,1801,0,5950,8264,7539,10103,8516,12526,9222,4412,9641,8708,0,0,2536,890,0,0,0,4781,0,0,0,16314,6159,0,8154,"N","N","Y"
"TBCD",1568,0,1206,0,1216,0,6382,5139,4587,4627,7432,5010,3775,1781,2773,2757,0,788,2062,8359,0,1217,616,1480,0,0,0,1602,697,0,6652,"N","N","N"
"TTC39C",1531,0,0,0,18733,0,6176,4202,7408,7291,14150,11595,5421,7042,6220,11910,0,0,0,906,0,0,0,0,0,0,0,17893,10575,0,1196,"N","N","N"
"KCTD1",3817,0,2670,0,6020,0,6114,8265,7451,8579,10886,8363,5306,9016,7995,10569,0,0,0,9095,0,5087,4049,1481,0,0,0,18228,10243,0,1052,"N","N","N"
"YES1",3449,0,6323,0,8470,0,5252,8250,760,5953,1448,629,2578,917,1479,7132,0,0,1821,5442,0,3293,2385,874,111,192,0,8559,6824,0,3377,"N","N","Y"
"DDX49",7817,0,723,0,9368,0,2013,3203,4250,4822,7976,3397,4471,3287,3691,6679,0,0,1139,878,1005,1774,1425,5177,0,0,409,17440,4388,0,4751,"N","N","N"
"ZNF296",7904,0,2671,0,9327,0,2401,1910,2912,3191,4751,9109,3228,2232,3464,324,0,0,1081,4803,0,0,0,1482,0,0,0,925,3205,0,2167,"N","N","N"
"IGLON5",11332,0,0,0,18712,0,9805,8267,8495,13772,11284,12842,11864,9686,9903,5136,0,0,0,11606,0,0,0,0,0,0,0,2082,10991,0,0,"N","N","N"
"ZNF808",9921,0,2672,0,442,0,8791,2180,3061,4135,4667,7966,2485,1176,2182,4923,0,926,2995,8940,0,0,0,1483,0,0,0,1595,1234,0,6804,"N","N","N"
"NLRP13",9127,0,0,0,16188,0,2204,2397,2476,1785,6317,7936,1098,1751,2177,1750,0,0,1218,11623,0,0,0,1484,0,0,0,2393,3527,0,8858,"N","N","N"
"ZNF667",11333,0,0,0,18738,0,7020,8249,6641,9199,5144,13802,7742,6180,10682,12183,0,0,0,0,0,3395,0,0,0,0,0,1954,10793,0,0,"N","N","N"
"ZNF772",7151,0,5005,0,13638,0,9568,6854,5766,9377,4901,3449,6970,4310,5001,9206,0,0,4455,10257,0,2594,2147,0,0,0,0,13974,5169,0,7178,"N","N","N"
"ASNSD1",2381,0,0,0,4456,0,6304,4069,5276,12393,11693,0,13021,12695,0,4585,0,2171,1704,4028,0,0,0,1485,0,0,0,7212,3938,0,3634,"N","N","N"
"CRYGC",7930,0,2673,0,3051,0,9525,6582,7866,9535,10302,10343,7137,5754,5584,122,0,1206,642,11595,0,1792,1453,4182,0,0,0,87,1513,0,2289,"N","N","Y"
"PTH2R",6630,0,4624,0,3030,0,6165,4602,3297,7165,7599,4754,6410,5134,4948,7225,0,0,4730,9745,0,2447,2102,1486,0,0,0,14092,5569,0,542,"N","N","N"
"CTDSP1",1629,0,2014,0,9238,0,2430,5980,3380,3597,2996,6151,2622,2988,4343,6929,0,0,2024,8787,1007,1782,1498,1487,0,0,257,3372,6198,0,2980,"N","N","N"
"CAD",136,0,844,0,73,0,488,2773,602,1057,5084,3686,164,170,1048,3130,0,1436,1856,9198,0,669,540,904,0,0,0,3368,258,0,4164,"N","N","Y"
"SRBD1",4646,0,0,0,4340,389,792,519,1376,1258,6231,6236,1053,584,1418,8156,0,0,1263,914,0,0,0,1767,0,0,0,2798,2399,0,5740,"N","N","N"
"STON1-GTF2A1L",6241,0,0,0,7893,0,1941,2212,9299,1628,12239,8391,1985,3870,3279,4157,0,0,0,0,0,0,0,0,0,0,0,10458,0,0,7253,"N","N","N"
"CNGA3",6029,0,2287,0,12624,0,2779,2388,9318,2386,12219,5540,870,3851,1734,1444,0,1543,48,132,0,0,0,0,0,0,0,6335,2019,0,3316,"N","N","N"
"OPRL1",4827,0,1092,0,8180,0,7473,6510,4217,8103,6890,6307,6616,3411,4638,6740,0,0,4685,9224,0,0,0,690,0,0,0,6332,5435,0,512,"N","N","N"
"C21orf91",3673,0,0,0,8510,0,9806,8271,8897,0,0,0,0,0,0,8362,0,0,0,9467,0,0,0,0,0,0,0,5169,5204,0,6812,"N","N","N"
"SOD1",9303,0,5213,0,2210,0,553,8257,1657,269,1144,6832,1630,3385,4085,5653,0,0,0,7461,715,4917,3980,352,0,0,0,7572,10190,0,6422,"N","N","Y"
"ISX",11334,0,4827,0,18713,0,8510,8266,9939,13035,6472,6297,11317,7950,9011,6232,0,0,0,3577,0,0,0,0,0,0,0,2349,9727,0,0,"N","N","N"
"TRIM42",4357,0,0,0,9046,0,8120,3901,6912,3736,9099,7890,2408,1380,2173,1012,0,1873,2508,5280,0,642,0,1488,0,0,0,4617,998,0,3466,"N","N","N"
"ATR",3203,0,226,0,3473,0,48,3445,304,30,20,63,1017,821,965,7472,0,909,3298,5053,333,925,1028,1489,0,0,380,16555,740,87,6203,"Y","N","Y"
"FAT4",2121,0,1035,0,4494,283,1350,1667,797,904,5975,2838,566,292,767,7385,28,546,4645,9197,0,181,179,1490,0,0,0,7237,111,0,8424,"N","N","Y"
"HTT",4907,0,139,0,8988,0,76,1907,181,117,18,33,797,362,92,7977,0,0,4724,8632,451,612,516,1491,0,0,0,4651,2729,0,7926,"N","N","Y"
"SPINK2",4610,0,0,0,18728,0,7416,8256,8889,10049,14359,12436,2874,8619,9567,3519,0,0,0,8202,0,4962,0,0,0,0,0,8081,11078,0,6734,"N","N","N"
"TMPRSS11E",6888,0,0,0,14455,0,4664,8254,7838,1660,10233,13285,5017,7643,10265,11837,0,0,0,4449,0,0,0,1492,0,0,0,17863,7134,0,2761,"N","N","N"
"GRID2",3963,0,5140,0,8756,0,1190,2999,3694,1113,10527,2274,1448,2168,1833,971,0,781,3407,5334,0,0,0,0,0,0,0,3980,824,0,8951,"N","N","N"
"PCDHA7",5896,0,236,0,153,0,8548,507,450,2743,1040,965,1502,1091,260,5958,0,1802,0,11078,315,309,345,1493,0,0,196,10377,0,44,0,"N","N","N"
"PCDHB7",8366,0,258,58,281,0,8601,922,6854,2762,7993,964,1521,997,561,130,0,2371,67,9172,462,0,0,1494,0,0,0,1309,0,0,1946,"N","N","N"
"ATP10B",2370,0,0,0,2560,0,8560,596,2340,1153,5338,3822,436,209,526,195,0,964,4837,7773,0,0,0,0,0,0,0,297,67,0,7086,"N","N","N"
"WWC1",2410,0,1947,0,11603,0,2504,3073,2989,1841,7473,2394,6030,3022,1076,8210,0,1730,0,56,0,2382,1764,1495,0,0,0,10318,3456,0,0,"N","N","N"
"ULBP3",9606,0,4030,0,6517,0,7853,8251,7934,10830,6034,7063,10431,10130,6908,5975,0,0,3795,6617,0,0,0,0,0,0,0,3252,4921,0,1616,"N","N","N"
"HIST1H2AK",3558,0,0,0,18683,0,898,4203,9495,2325,7916,10074,2675,3576,5449,127,0,632,0,0,0,2043,0,1496,0,0,0,265,2179,0,0,"N","N","N"
"BAI3",0,0,0,0,7532,0,10207,10118,10210,15225,2074,0,13752,9611,0,3732,99,0,0,0,0,713,0,1497,0,0,0,9216,514,0,0,"N","N","Y"
"MDN1",3032,0,706,0,1642,96,363,942,2217,888,4325,2782,365,227,627,7371,0,289,388,7186,0,0,0,1498,0,0,0,4372,53,0,3055,"N","N","N"
"SMO",272,0,5610,0,9366,0,2316,8258,5253,3816,2754,651,7769,5304,3973,4398,0,0,3254,965,0,0,0,4770,0,0,0,15273,6109,0,6755,"Y","N","Y"
"POU6F2",2850,0,2266,0,2048,0,7143,6243,1751,4512,2819,7737,2479,2719,3195,8905,0,0,1406,904,0,0,0,0,0,0,0,13089,3535,0,7723,"N","N","Y"
"TNRC18",5223,0,0,0,4122,0,6072,4053,5613,3666,7553,8867,3621,3475,3399,2100,0,1704,503,895,0,0,0,457,0,0,0,15852,3053,0,2869,"N","N","N"
"SEMA3C",4122,0,3867,0,12237,0,2304,5683,5101,2703,3788,2513,3636,4125,4055,6752,0,0,0,0,0,0,0,0,0,0,0,1461,3086,0,4824,"N","N","N"
"SEMA3E",5245,0,5477,0,14729,0,6068,8260,1290,6141,599,3247,7949,7173,6514,11425,0,0,0,0,0,0,0,0,0,0,0,10774,9315,0,1992,"N","N","N"
"RGS22",7195,0,2069,0,10182,0,5910,1133,7316,3223,9071,6388,1755,1977,2042,3151,0,184,2628,5441,0,0,0,1499,0,0,0,4328,1190,0,4399,"N","N","N"
"WDR67",0,0,1413,0,8407,0,10109,9967,10128,0,1167,8647,0,9983,13133,6867,0,0,0,0,0,0,0,0,0,0,0,0,1328,0,0,"N","N","N"
"GINS4",11335,0,1418,0,18708,0,3543,7281,5932,5331,8220,5354,5451,4684,4110,15338,0,0,0,942,0,0,0,0,0,0,0,10669,12901,0,0,"N","N","N"
"DNAJC25-GNG10",9114,0,0,0,18702,0,3419,8270,7409,0,0,0,0,0,0,1591,0,0,0,354,0,0,0,0,0,0,0,9350,0,0,0,"N","N","N"
"UBAC1",11336,0,2674,0,18734,0,5584,8252,6897,8418,9827,9272,8152,8662,4637,23547,0,0,0,888,543,3716,2602,0,0,0,0,7879,12654,0,0,"N","N","N"
"SLC34A3",11337,0,4268,0,17106,0,9803,8259,7683,13939,7439,13835,12031,7750,10710,4432,0,0,0,11605,0,0,0,0,0,0,0,1785,9900,0,0,"N","N","N"
"FREM1",4389,0,0,0,3283,154,2170,442,4097,1108,5667,4436,583,285,719,7441,0,1029,287,3276,0,0,0,0,0,0,0,7832,537,0,2790,"N","N","Y"
"ZIC3",728,0,2291,0,13940,0,2664,4156,3296,4382,3628,4851,4889,1995,4678,5777,0,0,3073,6109,0,0,0,0,0,0,0,15142,4976,0,6817,"N","N","N"
"GABRQ",2641,0,1266,0,640,0,6377,6355,9724,7360,13991,5936,6455,6887,2803,2546,0,2024,0,0,0,0,0,3019,0,0,0,12193,2721,0,0,"N","N","N"
"DCAF8L2",8435,0,0,0,9635,0,8486,258,9109,2766,9282,6717,1525,1265,1450,5023,0,0,0,0,0,0,0,0,0,0,0,5747,9001,0,4926,"N","N","N"
"FAM47A",8811,0,0,0,9700,0,8596,910,5508,2751,6853,5996,1510,1141,1402,7008,0,794,578,954,0,0,0,3573,183,275,0,11936,1695,0,2614,"N","N","N"
"KIAA2022",730,0,0,0,9666,88,8504,306,4039,0,13557,0,0,15233,0,103,0,0,0,0,0,0,0,0,0,0,0,554,64,0,0,"N","N","Y"
"TMC5",5545,0,0,0,6821,0,6245,909,4181,3391,6785,7356,2244,1313,2116,3664,0,290,4610,4105,0,0,0,354,0,0,0,2017,623,0,8422,"N","N","N"
"KIAA1045",0,0,0,0,11633,0,10188,10099,10191,0,14556,0,0,15535,0,940,0,0,0,0,0,0,0,2037,0,0,0,782,1894,0,0,"N","N","N"
"ITGB1",5972,0,1662,0,1587,0,1610,2879,176,1965,1462,593,112,880,94,7984,0,2112,0,0,1214,1935,1656,959,0,0,0,10132,3115,0,9265,"N","N","Y"
"WIF1",4715,0,1520,149,11208,0,4500,1321,1076,7914,1642,5801,6039,4610,4547,6848,0,0,3536,5172,0,2457,1937,0,0,0,0,10170,4636,0,7658,"N","N","Y"
"EEA1",6372,0,1491,0,11674,224,642,983,1539,2253,4985,1551,612,1332,1097,7675,0,0,4044,5975,0,1222,829,1500,0,0,0,3290,2144,0,6709,"N","N","N"
"CYSLTR2",6307,0,4269,0,16190,0,9037,3690,251,13320,5260,10292,11407,8605,7882,1800,0,0,690,5877,0,0,0,0,0,0,0,11417,4442,0,2422,"Y","N","Y"
"DNAH3",3242,0,556,31,855,31,435,45,385,602,4092,1712,125,56,223,7233,0,1550,866,7425,60,0,0,1502,0,0,694,4030,72,136,5453,"N","N","N"
"ZNF213",8675,0,0,0,0,0,6319,3658,3864,11332,5211,13662,8002,6470,10568,23954,0,0,0,879,0,0,0,0,0,0,0,18640,8980,0,7874,"N","N","N"
"SARM1",11338,0,2326,0,18748,0,3124,1112,9194,0,0,0,0,0,0,488,0,0,0,0,0,0,0,0,0,0,0,29,8432,0,0,"N","N","N"
"VPS53",3337,0,1077,0,1604,0,1677,1511,3613,4711,9430,6555,5384,4252,2792,9147,0,0,0,877,0,0,0,4400,0,0,0,15500,5778,0,0,"N","N","Y"
"GTPBP3",7741,0,2675,0,7983,0,675,3303,5365,4542,14036,7463,2065,6931,3445,10394,0,0,3481,6389,0,2016,1363,0,0,0,0,6062,4529,0,5454,"N","N","N"
"FBXO11",305,0,4703,0,10546,0,626,3688,324,441,89,170,5516,7304,6647,8581,0,0,0,3806,0,4971,3809,0,0,0,128,15067,5716,0,4768,"Y","N","Y"
"NNT",3157,0,0,0,1887,0,1769,997,3432,6281,14015,10524,3527,6910,5678,3501,0,2499,4431,10468,0,0,0,1503,0,0,0,5174,1856,0,732,"N","N","N"
"LRRC16A",4869,0,0,0,15643,0,10192,10103,10195,15023,10964,0,15332,13474,0,8005,0,0,0,0,0,0,0,935,0,0,0,10440,2034,0,0,"N","N","N"
"PTK7",4488,0,1493,0,1962,0,1304,1307,1498,2255,4722,4369,2664,887,2503,7750,0,945,1120,881,0,0,0,1727,0,0,0,4410,1506,0,5197,"N","N","Y"
"CLIC5",9541,0,0,0,14458,0,4487,3345,5405,6567,14176,11777,5989,7068,6299,9863,0,0,994,5093,0,0,0,446,0,0,0,177,4077,0,2985,"N","N","N"
"GSTA5",11339,0,3868,0,18742,0,3336,3683,3489,10385,9686,7689,10649,7890,7254,15543,0,0,0,912,0,0,0,0,0,0,0,9657,12683,0,0,"N","N","N"
"MGAM",4316,0,0,0,2897,0,1204,576,887,1218,1753,5958,863,137,1396,6995,0,0,3156,6290,0,389,0,2892,0,0,0,14520,221,0,5157,"N","N","Y"
"STK31",837,0,0,0,2997,0,1997,1022,4169,1558,7018,6799,779,1000,1454,112,0,2398,2888,6259,0,296,0,0,0,0,0,1010,292,0,4441,"N","N","Y"
"COL1A2",2885,0,174,0,1083,0,231,400,676,662,1856,1759,157,282,474,1342,0,465,0,0,406,287,291,0,0,0,499,6520,678,127,5438,"N","N","Y"
"CA9",6095,0,1953,0,9777,0,264,2370,257,570,302,1007,3171,2960,4612,3296,0,0,4124,5104,0,0,0,1504,0,0,0,6370,5207,0,822,"N","N","Y"
"OGN",10919,0,4942,0,13100,0,3731,3675,490,8035,593,6947,10273,2577,4329,10985,0,0,0,636,0,4428,3415,1505,0,0,0,16716,9109,0,3711,"N","N","Y"
"UBE2Q1",595,0,2676,0,3523,0,3773,2645,5040,7153,9932,6920,4800,5034,5103,3609,0,0,5051,11624,0,2520,2090,595,0,0,0,2435,4010,0,1094,"N","N","N"
"FANCM",10154,0,512,137,18741,0,1498,849,322,1475,3521,3493,889,891,1380,2187,0,0,3746,9449,0,587,380,4629,0,0,0,739,2955,0,5313,"N","N","Y"
"DVL1",1242,0,343,0,5828,0,2958,4380,3161,3213,2738,3028,1415,1035,701,3929,0,0,0,938,1203,1866,1423,2437,0,0,412,10490,5438,138,0,"N","N","Y"
"NBPF14",0,0,0,0,8511,0,9152,4374,9514,0,0,0,0,0,0,1744,0,0,0,0,0,0,0,0,0,0,0,1255,3635,0,0,"N","N","N"
"VPS72",5750,0,5866,0,1755,0,351,2187,1849,825,3684,2017,5031,3282,3913,12004,0,0,1611,932,0,2343,1948,3882,0,0,0,18371,9916,0,6988,"N","N","N"
"WDR64",9277,0,0,0,5266,0,3769,3657,4957,0,0,0,0,0,0,1275,0,371,0,8492,0,0,0,0,0,0,0,3741,2162,0,0,"Y","N","N"
"AHDC1",5666,0,0,0,15216,0,2041,3776,8073,3965,10718,10842,6744,5273,5843,2350,0,0,4090,6469,0,1515,0,1506,28,43,0,14715,12053,0,7749,"N","N","N"
"C1orf50",8633,0,0,0,10844,0,5655,5458,6161,0,0,0,0,0,0,9603,0,0,0,4017,0,3867,0,0,0,0,0,13962,9690,0,9614,"N","N","N"
"PIP4K2A",2080,0,6549,0,805,0,8102,5403,379,11325,5716,700,11064,4168,3779,11107,0,0,0,10828,0,4540,3461,1507,0,0,0,17831,8464,0,6827,"N","N","N"
"SOX6",2290,0,2677,0,391,0,4035,5381,9620,9190,15649,11697,7835,11495,7661,9032,0,0,0,0,0,0,0,1508,0,0,0,15858,6975,0,492,"N","N","N"
"ATHL1",9337,0,0,0,7861,0,10141,10059,10151,13149,14214,0,14528,14275,0,1002,0,0,0,0,0,0,0,0,0,0,0,975,1305,0,0,"N","N","Y"
