"genenames","CHASM","DawnRank","EntroRank","Intdriver","MA","MCGfinder","MaxMIF_HumanNet","MaxMIF_Influencegraph","MaxMIF_STRINGv10","Muf_max_HumanNet","Muf_max_STRINGv10","Muf_max_influencegraph","Muf_sum_HumanNet","Muf_sum_STRINGv10","Muf_sum_influencegraph","Music","NMTF","OncodriveClust","OncodriveFM","SIFT","Subdyquency","Unicovex_PPR","Unicovex_influnecegraph","activedriver","dendrix_frequency","dendrix_weight","diffusion","dndscv","dotsfinder","drivernet","polyphen-2","ncg_6","cgc","ccgs"
"GRM6",5095,0,445,83,12544,0,1313,379,1176,2066,5961,2926,905,763,1636,2823,0,0,771,1643,0,0,0,0,0,0,0,2368,3700,0,4095,"N","N","N"
"ENC1",2686,0,3350,0,13040,0,3654,5576,2556,4422,1854,8956,7411,7943,7436,8537,0,0,0,2391,0,2954,2455,4266,0,0,0,10551,6688,0,6145,"N","N","Y"
"SSBP2",12178,0,6227,0,0,0,5825,5535,4010,9309,15878,5150,5418,11724,6957,22528,0,0,0,2442,0,4818,4131,0,6,61,0,7712,12465,0,0,"N","N","Y"
"MFHAS1",7217,0,0,0,16944,0,2274,2464,3915,5303,6994,10545,3438,2731,5685,3878,0,0,0,8060,0,0,0,4267,0,0,0,16232,6608,0,7856,"N","N","Y"
"PLEKHF2",2814,0,0,0,26814,0,2735,962,1724,4272,6264,8497,2890,2472,3312,651,0,0,2814,7822,0,1264,0,4268,0,0,0,352,3167,0,4888,"N","N","N"
"TLE1",760,0,5957,0,0,0,388,5530,2353,3886,3031,2238,4015,5236,761,9087,0,0,0,10461,0,3183,3641,4269,0,0,0,14716,4604,0,8323,"N","N","Y"
"MMEL1",12179,0,0,0,24556,0,7396,1582,4175,8948,14017,10552,6906,6912,5689,1995,0,0,0,9607,0,0,0,0,0,0,0,129,5835,0,0,"N","N","N"
"MAP1LC3C",4506,0,5573,0,7552,0,9575,6901,4526,13975,8399,5640,12067,4160,4595,2631,0,0,0,7995,0,3988,3296,0,0,0,0,8187,8064,0,5091,"N","N","N"
"NAT10",1779,0,2452,0,962,0,1877,6186,4436,1980,6604,9201,1610,2369,5254,10875,0,0,2624,10885,0,1494,1217,4270,0,0,0,15496,5429,0,7819,"N","N","Y"
"EPS8",1425,0,1128,0,14054,0,637,3193,2540,1311,2747,2637,2869,1568,1480,6513,0,0,537,4155,0,1142,1049,4271,0,0,0,1438,1717,0,2488,"N","N","Y"
"RND1",10063,0,4957,0,14055,0,3227,6875,3019,5861,4690,3157,9441,834,4384,5874,0,0,0,4184,1381,5108,3102,0,0,0,0,11472,7495,0,4744,"N","N","N"
"F7",11010,0,2140,0,15968,0,3211,6280,1072,1509,741,9542,4432,2859,4820,14673,0,0,0,2415,0,1620,1347,0,0,0,0,18280,10596,0,0,"N","N","Y"
"NIN",1097,0,3351,0,2371,0,4557,3166,3936,5967,3859,11516,4373,1757,6184,6759,0,2346,0,11827,0,1464,2098,2687,0,0,0,1278,401,0,0,"N","N","Y"
"OTX2",12180,0,3352,0,23973,0,2200,4070,3000,3894,3778,7166,1433,2448,5246,6027,0,0,0,12106,0,1404,1151,0,0,0,0,224,7037,0,0,"N","N","Y"
"CLDN6",10997,0,5570,0,8480,0,5446,6923,6113,8341,5853,5314,10663,8872,7342,4560,0,0,4598,9058,0,0,0,4272,0,0,0,9831,8152,0,8299,"N","N","N"
"ZNF778",10870,0,0,0,16591,0,4727,6857,5771,11023,5217,13820,9856,5461,10697,6909,0,0,94,94,0,3459,0,4273,0,0,0,16666,4837,0,9590,"N","N","N"
"RDM1",6604,0,0,0,5290,0,6037,6877,9790,9233,13500,13504,10909,9524,10438,11295,0,0,0,0,0,4125,0,0,0,0,0,12826,8158,0,6689,"N","N","Y"
"CA4",9951,0,3961,0,10423,0,5135,6925,4641,7294,2502,4891,8276,4587,2387,3493,0,0,0,644,0,0,0,4275,0,0,0,14784,5052,0,2297,"N","N","N"
"GPR17",8918,0,1024,0,9681,0,7612,6168,504,7195,4987,7180,5055,3327,4477,7345,0,0,3092,4521,0,0,0,0,0,0,0,6279,5966,0,723,"N","N","N"
"DGKD",1356,0,1242,0,12779,0,7321,3448,3342,5423,5233,1959,2697,2544,2390,8494,0,0,2396,6927,748,1087,892,4276,0,0,0,14434,6661,0,4537,"N","N","Y"
"PLSCR2",3293,0,0,0,5438,0,4935,6279,6915,4359,10017,11252,4374,3692,6051,4033,0,0,0,0,0,0,0,0,0,0,0,3626,2839,0,6757,"N","N","N"
"CNGA1",5049,0,5431,0,7584,0,3313,6921,5130,4040,5560,6857,1783,6050,6898,9873,0,0,0,2476,0,0,0,0,0,0,0,10521,10366,0,3354,"N","N","N"
"MRPL15",5371,0,6301,0,2357,0,3747,6895,5545,6137,15564,6536,7640,11410,6790,6602,0,0,813,3752,1494,4530,3210,2851,15,227,0,4458,4970,0,8923,"N","N","N"
"C9orf171",0,0,0,0,23961,0,10442,10442,10442,0,0,0,0,0,0,13332,0,0,0,0,0,3893,0,0,0,0,0,6478,13004,0,0,"N","N","N"
"NPR2",9092,0,3353,0,4304,0,2313,4957,3740,2513,5719,9833,3359,1494,3654,10939,0,0,4635,9202,0,0,0,4280,0,0,0,15725,6471,0,7696,"N","N","Y"
"MAGEC2",7980,0,0,0,6720,0,6512,1370,633,5298,1034,9733,4062,2582,3631,522,0,2402,4111,11058,0,876,0,4281,0,0,0,6940,2108,0,5527,"N","N","Y"
"SHOX",12182,0,5581,0,23978,0,7667,6872,6036,11829,15534,7943,9937,11380,8499,21748,0,0,0,2435,0,0,0,0,0,0,0,8658,13323,0,0,"N","N","N"
"GLYR1",2483,0,3354,0,2097,0,3544,5737,4018,3138,5722,11512,2726,4013,6182,1798,0,0,5044,12103,0,2056,1391,5649,0,0,0,326,3755,0,860,"N","N","N"
"TYRP1",5637,0,4170,0,16364,0,2776,3361,337,4459,252,86,3604,3215,3713,6437,0,0,951,4913,39,0,0,0,0,0,0,1006,1886,0,8694,"N","N","Y"
"OR4A15",4072,0,2198,0,829,0,8822,2387,3183,9346,6917,5784,6938,3997,5270,693,0,2447,2034,10307,0,0,0,0,0,0,0,9204,3552,0,8017,"N","N","N"
"LRRC16B",5581,0,0,0,3779,0,10204,10115,10207,0,11396,0,0,15305,0,1785,0,0,0,0,0,0,0,0,0,0,0,3025,547,0,0,"N","N","N"
"GZMH",9952,0,4171,0,17484,0,9248,4935,4996,13587,3924,8216,11676,8361,7646,3186,0,0,0,8440,0,0,0,0,0,0,0,15835,9068,0,3197,"N","N","N"
"ZNF878",10510,0,0,0,2265,0,9244,4925,4548,13264,5087,11817,11349,7994,9059,12216,0,0,3482,10491,0,0,0,0,0,0,0,18714,7095,0,6905,"N","N","N"
"OR1I1",10777,0,4378,0,13037,0,9247,4933,4585,13993,7701,8348,12085,7269,8862,1879,0,0,0,4403,0,0,0,0,0,0,0,9977,6693,0,3709,"N","N","N"
"BZW1",2509,0,3962,0,2178,0,4161,4943,4440,6522,9575,10750,7916,8707,8428,6917,0,0,2584,8932,0,3755,2603,4282,0,0,0,9880,6722,0,6345,"N","N","N"
"AQP12A",7851,0,0,0,8375,0,5988,1195,7435,0,0,0,0,0,0,6834,0,2608,944,5244,0,0,0,0,0,0,0,381,3195,0,9500,"Y","N","N"
"SUPT7L",2618,0,5724,0,24002,0,9245,4928,990,13560,886,5499,11649,9026,7511,3435,0,0,0,2417,0,2948,4106,5900,0,0,0,2080,5282,0,7430,"N","N","Y"
"GPCPD1",12183,0,3355,0,23990,0,5406,4936,6389,8977,9695,7197,5281,7374,8979,15460,0,0,0,2420,0,4721,2692,0,0,0,0,5091,13195,0,0,"N","N","N"
"UBA5",8843,0,3356,0,17623,0,5290,4926,5488,10514,16133,11570,5127,11979,7441,11941,0,0,0,412,0,3659,3833,4283,0,0,0,16756,8911,0,9633,"N","N","N"
"ISOC1",12184,0,0,0,23992,0,6305,4934,8026,10886,12936,12147,11038,9079,9329,10530,0,0,0,12112,0,5013,0,0,0,0,0,2030,8270,0,0,"N","N","N"
